0,1,2
Geraldine Chaplin,/people/person/nationality,United Kingdom
Charlie Chaplin,/people/person/children,Geraldine Chaplin
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Geraldine Chaplin
Geraldine Chaplin,/people/person/gender,Female
Geraldine Chaplin,/people/person/nationality,United States
Domestic partnership,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Geraldine Chaplin
Santa Monica,/location/location/people_born_here,Geraldine Chaplin
Geraldine Chaplin,/people/person/profession,Actor
Geraldine Chaplin,/people/person/parents,Charlie Chaplin
Geraldine Chaplin,/people/person/spouse_s./people/marriage/type_of_union,Domestic partnership
Geraldine Chaplin,/people/person/place_of_birth,Santa Monica
Actor,/people/profession/people_with_this_profession,Geraldine Chaplin
Geraldine Chaplin,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Joseph Conrad,/people/person/profession,Writer
Joseph Conrad,/people/person/nationality,United Kingdom
Joseph Conrad,/people/person/gender,Male
Writer,/people/profession/people_with_this_profession,Joseph Conrad
Joseph Conrad,/people/person/religion,Atheism
Joseph Conrad,/people/person/religion,Catholicism
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Joseph Conrad
Joseph Conrad,/people/person/profession,Author
Author,/people/profession/people_with_this_profession,Joseph Conrad
Polish people,/people/ethnicity/people,Joseph Conrad
Joseph Conrad,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Joseph Conrad,/people/person/ethnicity,Polish people
Joseph Conrad,/people/person/nationality,Poland
Joseph Conrad,/people/person/employment_history./business/employment_tenure/title,Columnist
Jeremy Thomas,/people/person/nationality,United Kingdom
London,/location/location/people_born_here,Jeremy Thomas
Jeremy Thomas,/people/person/profession,Film producer
Jeremy Thomas,/people/person/ethnicity,British people
Jeremy Thomas,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Film producer,/people/profession/people_with_this_profession,Jeremy Thomas
Jeremy Thomas,/people/person/place_of_birth,London
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Jeremy Thomas
Jeremy Thomas,/people/person/gender,Male
Jeremy Thomas,/people/person/nationality,England
British people,/people/ethnicity/people,Jeremy Thomas
Jeremy Thomas,/people/person/places_lived./people/place_lived/location,London
Michael Moorcock,/people/person/nationality,United Kingdom
Musician,/people/profession/people_with_this_profession,Michael Moorcock
Author,/people/profession/people_with_this_profession,Michael Moorcock
Michael Moorcock,/people/person/profession,Writer
Michael Moorcock,/people/person/profession,Author
Michael Moorcock,/people/person/gender,Male
London,/location/location/people_born_here,Michael Moorcock
Writer,/people/profession/people_with_this_profession,Michael Moorcock
Michael Moorcock,/people/person/profession,Musician
Michael Moorcock,/people/person/place_of_birth,London
Michael Moorcock,/people/person/nationality,England
Jeremy Clarkson,/people/person/nationality,United Kingdom
Doncaster,/location/location/people_born_here,Jeremy Clarkson
Jeremy Clarkson,/people/person/gender,Male
Jeremy Clarkson,/people/person/place_of_birth,Doncaster
Jeremy Clarkson,/people/person/languages,English
Jeremy Clarkson,/people/person/profession,Writer
Jeremy Clarkson,/people/person/spouse_s./people/marriage/location_of_ceremony,Fulham
Author,/people/profession/people_with_this_profession,Jeremy Clarkson
Jeremy Clarkson,/people/person/education./education/education/major_field_of_study,Engineering
Jeremy Clarkson,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Jeremy Clarkson,/people/person/places_lived./people/place_lived/location,Doncaster
Jeremy Clarkson,/people/person/profession,Journalist
Jeremy Clarkson,/people/person/nationality,England
Jeremy Clarkson,/people/person/profession,Author
Writer,/people/profession/people_with_this_profession,Jeremy Clarkson
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Jeremy Clarkson
Journalist,/people/profession/people_with_this_profession,Jeremy Clarkson
Paul McCartney,/people/person/nationality,United Kingdom
Paul McCartney,/people/person/profession,Singer-songwriter
Paul McCartney,/people/person/profession,Bassist
Businessperson,/people/profession/people_with_this_profession,Paul McCartney
Paul McCartney,/people/person/profession,Drummer
Paul McCartney,/people/person/profession,Songwriter
Musician,/people/profession/people_with_this_profession,Paul McCartney
Paul McCartney,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Composer,/people/profession/people_with_this_profession,Paul McCartney
Artist,/people/profession/people_with_this_profession,Paul McCartney
Paul McCartney,/people/person/profession,Actor
Actor,/people/profession/people_with_this_profession,Paul McCartney
Paul McCartney,/people/person/nationality,England
Film producer,/people/profession/people_with_this_profession,Paul McCartney
Paul McCartney,/people/person/spouse_s./people/marriage/type_of_union,Domestic partnership
Paul McCartney,/people/person/profession,Film producer
Domestic partnership,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Paul McCartney
Paul McCartney,/people/person/languages,English
Irish people in Great Britain,/people/ethnicity/people,Paul McCartney
Paul McCartney,/people/person/profession,Composer
Pianist,/people/profession/people_with_this_profession,Paul McCartney
Paul McCartney,/people/person/spouse_s./people/marriage/location_of_ceremony,London
Paul McCartney,/people/person/profession,Pianist
Singer-songwriter,/people/profession/people_with_this_profession,Paul McCartney
Poet,/people/profession/people_with_this_profession,Paul McCartney
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Paul McCartney
Paul McCartney,/people/person/spouse_s./people/marriage/location_of_ceremony,Ireland
Paul McCartney,/people/person/profession,Artist
Paul McCartney,/people/person/profession,Poet
Guitarist,/people/profession/people_with_this_profession,Paul McCartney
Paul McCartney,/people/person/profession,Businessperson
Paul McCartney,/people/person/gender,Male
Drummer,/people/profession/people_with_this_profession,Paul McCartney
Songwriter,/people/profession/people_with_this_profession,Paul McCartney
Paul McCartney,/people/person/profession,Guitarist
Paul McCartney,/people/person/profession,Musician
Paul McCartney,/people/person/places_lived./people/place_lived/location,Liverpool
Paul McCartney,/people/person/ethnicity,Irish people in Great Britain
Bassist,/people/profession/people_with_this_profession,Paul McCartney
Stockport County F.C.,/sports/sports_team/roster./sports/sports_team_roster/player,Boaz Myhill
Macclesfield Town F.C.,/sports/sports_team/roster./sports/sports_team_roster/player,Boaz Myhill
Boaz Myhill,/people/person/nationality,United Kingdom
Boaz Myhill,/people/person/nationality,Wales
Wales national football team,/sports/sports_team/roster./sports/sports_team_roster/player,Boaz Myhill
Boaz Myhill,/sports/pro_athlete/teams./sports/sports_team_roster/team,Wales national football team
Boaz Myhill,/people/person/gender,Male
Boaz Myhill,/sports/pro_athlete/teams./sports/sports_team_roster/team,Bristol City F.C.
West Bromwich Albion F.C.,/sports/sports_team/roster./sports/sports_team_roster/player,Boaz Myhill
Boaz Myhill,/people/person/place_of_birth,Modesto
Boaz Myhill,/people/person/nationality,United States
Boaz Myhill,/people/person/places_lived./people/place_lived/location,Modesto
Hull City,/sports/sports_team/roster./sports/sports_team_roster/player,Boaz Myhill
Boaz Myhill,/sports/pro_athlete/teams./sports/sports_team_roster/team,Hull City
Boaz Myhill,/people/person/nationality,England
Boaz Myhill,/sports/pro_athlete/teams./sports/sports_team_roster/team,Bradford City AFC
Boaz Myhill,/sports/pro_athlete/teams./sports/sports_team_roster/team,Birmingham City F.C.
Goalkeeper,/sports/sports_position/players./sports/sports_team_roster/player,Boaz Myhill
Bristol City F.C.,/sports/sports_team/roster./sports/sports_team_roster/player,Boaz Myhill
Boaz Myhill,/sports/pro_athlete/teams./sports/sports_team_roster/team,West Bromwich Albion F.C.
Boaz Myhill,/sports/pro_athlete/teams./sports/sports_team_roster/team,Macclesfield Town F.C.
Birmingham City F.C.,/sports/sports_team/roster./sports/sports_team_roster/player,Boaz Myhill
Modesto,/location/location/people_born_here,Boaz Myhill
Bradford City AFC,/sports/sports_team/roster./sports/sports_team_roster/player,Boaz Myhill
Stoke City F.C.,/sports/sports_team/roster./sports/sports_team_roster/player,Boaz Myhill
Boaz Myhill,/sports/pro_athlete/teams./sports/sports_team_roster/team,Stockport County F.C.
Boaz Myhill,/sports/pro_athlete/teams./sports/sports_team_roster/team,Stoke City F.C.
Boaz Myhill,/sports/pro_athlete/teams./sports/sports_team_roster/position,Goalkeeper
Boaz Myhill,/sports/pro_athlete/teams./sports/sports_team_roster/team,Aston Villa F.C.
Aston Villa F.C.,/sports/sports_team/roster./sports/sports_team_roster/player,Boaz Myhill
English people,/people/ethnicity/people,John Mills
John Mills,/people/person/nationality,United Kingdom
John Mills,/people/person/children,Hayley Mills
John Mills,/people/person/spouse_s./people/marriage/type_of_union,Marriage
John Mills,/people/person/places_lived./people/place_lived/location,Suffolk
Actor,/people/profession/people_with_this_profession,John Mills
Hayley Mills,/people/person/parents,John Mills
John Mills,/people/person/ethnicity,English people
John Mills,/people/person/gender,Male
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,John Mills
John Mills,/people/person/profession,Actor
Donald Sumpter,/people/person/nationality,United Kingdom
United Kingdom,/location/location/people_born_here,Donald Sumpter
Donald Sumpter,/people/person/profession,Actor
Donald Sumpter,/people/person/ethnicity,British people
Donald Sumpter,/people/person/gender,Male
British people,/people/ethnicity/people,Donald Sumpter
Actor,/people/profession/people_with_this_profession,Donald Sumpter
Donald Sumpter,/people/person/place_of_birth,United Kingdom
Rowan Atkinson,/people/person/nationality,United Kingdom
Rowan Atkinson,/people/person/profession,Screenwriter
Rowan Atkinson,/people/person/education./education/education/institution,Newcastle University
Rowan Atkinson,/people/person/profession,Actor
Rowan Atkinson,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Rowan Atkinson,/people/person/education./education/education/degree,Master of Science
Rowan Atkinson,/people/person/profession,Engineer
Rowan Atkinson,/people/person/profession,Comedian
Rowan Atkinson,/people/person/nationality,England
Rowan Atkinson,/people/person/education./education/education/major_field_of_study,Electrical engineering
Rowan Atkinson,/people/person/gender,Male
Comedian,/people/profession/people_with_this_profession,Rowan Atkinson
Rowan Atkinson,/people/person/spouse_s./people/marriage/location_of_ceremony,New York
Actor,/people/profession/people_with_this_profession,Rowan Atkinson
Engineer,/people/profession/people_with_this_profession,Rowan Atkinson
Screenwriter,/people/profession/people_with_this_profession,Rowan Atkinson
Rowan Atkinson,/people/person/education./education/education/institution,The Queen's College
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Rowan Atkinson
Fred Frith,/people/person/nationality,United Kingdom
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Fred Frith
Fred Frith,/people/person/gender,Male
Fred Frith,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Fred Frith,/people/person/profession,Composer
Musician,/people/profession/people_with_this_profession,Fred Frith
Fred Frith,/people/person/profession,Guitarist
Composer,/people/profession/people_with_this_profession,Fred Frith
Guitarist,/people/profession/people_with_this_profession,Fred Frith
Fred Frith,/people/person/profession,Musician
Fred Frith,/people/person/nationality,England
Fred Frith,/people/person/education./education/education/institution,University of Cambridge
Richard Rodney Bennett,/people/person/profession,Composer
Richard Rodney Bennett,/people/person/nationality,United Kingdom
Richard Rodney Bennett,/people/person/education./education/education/institution,Royal Academy of Music
Richard Rodney Bennett,/people/person/gender,Male
Composer,/people/profession/people_with_this_profession,Richard Rodney Bennett
Richard Rodney Bennett,/people/deceased_person/place_of_death,Manhattan
Comedian,/people/profession/people_with_this_profession,Billy Connolly
Billy Connolly,/people/person/nationality,United Kingdom
Billy Connolly,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Scottish people,/people/ethnicity/people,Billy Connolly
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Billy Connolly
Actor,/people/profession/people_with_this_profession,Billy Connolly
Billy Connolly,/people/person/profession,Comedian
Billy Connolly,/people/person/religion,Atheism
Billy Connolly,/people/person/profession,Actor
Billy Connolly,/people/person/profession,Musician
Billy Connolly,/people/person/nationality,Scotland
Billy Connolly,/people/person/gender,Male
Screenwriter,/people/profession/people_with_this_profession,Billy Connolly
Billy Connolly,/people/person/places_lived./people/place_lived/location,Glasgow
Billy Connolly,/people/person/ethnicity,Scottish people
Billy Connolly,/people/person/profession,Screenwriter
Billy Connolly,/people/person/spouse_s./people/marriage/location_of_ceremony,Fiji
Musician,/people/profession/people_with_this_profession,Billy Connolly
Idris Elba,/people/person/nationality,United Kingdom
Actor,/people/profession/people_with_this_profession,Idris Elba
Idris Elba,/people/person/profession,Television producer
Idris Elba,/people/person/profession,Film producer
Television producer,/people/profession/people_with_this_profession,Idris Elba
Idris Elba,/people/person/place_of_birth,London Borough of Hackney
Idris Elba,/people/person/profession,Actor
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Idris Elba
Idris Elba,/people/person/gender,Male
London Borough of Hackney,/location/location/people_born_here,Idris Elba
Idris Elba,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Film producer,/people/profession/people_with_this_profession,Idris Elba
Basil Rathbone,/people/person/nationality,United Kingdom
Basil Rathbone,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Basil Rathbone,/people/person/profession,Actor
Basil Rathbone,/people/deceased_person/place_of_death,New York
Basil Rathbone,/people/person/gender,Male
Johannesburg,/location/location/people_born_here,Basil Rathbone
Basil Rathbone,/people/person/place_of_birth,Johannesburg
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Basil Rathbone
Actor,/people/profession/people_with_this_profession,Basil Rathbone
Stephen Merchant,/people/person/nationality,England
Stephen Merchant,/people/person/profession,Actor
Stephen Merchant,/people/person/nationality,United Kingdom
Comedian,/people/profession/people_with_this_profession,Stephen Merchant
Stephen Merchant,/people/person/religion,Atheism
Radio personality,/people/profession/people_with_this_profession,Stephen Merchant
Bristol,/location/location/people_born_here,Stephen Merchant
Stephen Merchant,/people/person/profession,Writer
Stephen Merchant,/people/person/profession,Screenwriter
Stephen Merchant,/people/person/gender,Male
Stephen Merchant,/people/person/profession,Comedian
Stephen Merchant,/people/person/places_lived./people/place_lived/location,Bristol
Stephen Merchant,/people/person/education./education/education/institution,University of Warwick
Stephen Merchant,/people/person/profession,Radio personality
Writer,/people/profession/people_with_this_profession,Stephen Merchant
Actor,/people/profession/people_with_this_profession,Stephen Merchant
Television producer,/people/profession/people_with_this_profession,Stephen Merchant
Stephen Merchant,/people/person/profession,Television producer
Screenwriter,/people/profession/people_with_this_profession,Stephen Merchant
Stephen Merchant,/people/person/place_of_birth,Bristol
Michael Hordern,/people/person/nationality,United Kingdom
Michael Hordern,/people/deceased_person/place_of_death,Oxford
Michael Hordern,/people/person/gender,Male
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Michael Hordern
Michael Hordern,/people/person/profession,Actor
Michael Hordern,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Actor,/people/profession/people_with_this_profession,Michael Hordern
Michael Hordern,/people/person/nationality,England
Sid James,/people/person/nationality,United Kingdom
Sid James,/people/person/profession,Comedian
Hairdresser,/people/profession/people_with_this_profession,Sid James
Sid James,/people/person/profession,Hairdresser
Sid James,/people/person/gender,Male
Golders Green Crematorium,/people/place_of_interment/interred_here,Sid James
Sid James,/people/deceased_person/place_of_death,Sunderland
Sid James,/people/person/profession,Actor
Sid James,/people/deceased_person/place_of_burial,Golders Green Crematorium
Sid James,/people/deceased_person/place_of_cremation,Golders Green Crematorium
Sid James,/people/person/nationality,South Africa
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Sid James
Actor,/people/profession/people_with_this_profession,Sid James
Sid James,/people/person/nationality,England
Comedian,/people/profession/people_with_this_profession,Sid James
Sid James,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Peter Ustinov,/people/person/nationality,United Kingdom
Peter Ustinov,/people/person/profession,Film director
Journalist,/people/profession/people_with_this_profession,Peter Ustinov
Film producer,/people/profession/people_with_this_profession,Peter Ustinov
Peter Ustinov,/people/person/profession,Film producer
Peter Ustinov,/people/person/profession,Journalist
Actor,/people/profession/people_with_this_profession,Peter Ustinov
Peter Ustinov,/people/person/employment_history./business/employment_tenure/company,Durham University
Peter Ustinov,/people/person/education./education/education/institution,Westminster School
Comedian,/people/profession/people_with_this_profession,Peter Ustinov
Screenwriter,/people/profession/people_with_this_profession,Peter Ustinov
Film director,/people/profession/people_with_this_profession,Peter Ustinov
Peter Ustinov,/people/person/profession,Actor
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Peter Ustinov
Peter Ustinov,/people/person/profession,Comedian
Peter Ustinov,/people/person/profession,Screenwriter
Peter Ustinov,/people/person/gender,Male
Peter Ustinov,/people/person/nationality,England
Peter Ustinov,/people/person/profession,Author
Peter Ustinov,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Author,/people/profession/people_with_this_profession,Peter Ustinov
William Somerset Maugham,/people/person/ethnicity,English people
William Somerset Maugham,/people/person/nationality,United Kingdom
Playwright,/people/profession/people_with_this_profession,William Somerset Maugham
William Somerset Maugham,/people/person/profession,Writer
Physician,/people/profession/people_with_this_profession,William Somerset Maugham
Paris,/location/location/people_born_here,William Somerset Maugham
William Somerset Maugham,/people/person/profession,Playwright
William Somerset Maugham,/people/deceased_person/place_of_death,Nice
William Somerset Maugham,/people/person/profession,Author
William Somerset Maugham,/people/person/education./education/education/institution,King's College London
Writer,/people/profession/people_with_this_profession,William Somerset Maugham
William Somerset Maugham,/people/person/profession,Physician
William Somerset Maugham,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Author,/people/profession/people_with_this_profession,William Somerset Maugham
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,William Somerset Maugham
William Somerset Maugham,/people/person/gender,Male
William Somerset Maugham,/people/person/nationality,France
William Somerset Maugham,/people/person/places_lived./people/place_lived/location,Paris
William Somerset Maugham,/people/person/education./education/education/institution,Heidelberg University
William Somerset Maugham,/people/person/place_of_birth,Paris
English people,/people/ethnicity/people,William Somerset Maugham
Raymond Chandler,/people/person/place_of_birth,Chicago
Raymond Chandler,/people/person/profession,Screenwriter
Raymond Chandler,/people/person/nationality,United Kingdom
Marriage,/people/marriage_union_type/unions_of_this_type./people/marriage/spouse,Raymond Chandler
Raymond Chandler,/people/person/places_lived./people/place_lived/location,California
Raymond Chandler,/people/person/profession,Writer
Raymond Chandler,/people/person/nationality,United States
Raymond Chandler,/people/person/education./education/education/institution,Dulwich College
Raymond Chandler,/people/deceased_person/place_of_death,La Jolla
Screenwriter,/people/profession/people_with_this_profession,Raymond Chandler
Chicago,/location/location/people_born_here,Raymond Chandler
Raymond Chandler,/people/person/places_lived./people/place_lived/location,La Jolla
Raymond Chandler,/people/person/profession,Author
Raymond Chandler,/people/person/places_lived./people/place_lived/location,Los Angeles
Writer,/people/profession/people_with_this_profession,Raymond Chandler
Author,/people/profession/people_with_this_profession,Raymond Chandler
Raymond Chandler,/people/person/spouse_s./people/marriage/type_of_union,Marriage
Raymond Chandler,/people/person/gender,Male
Grant Morrison,/people/person/nationality,United Kingdom
Playwright,/people/profession/people_with_this_profession,Grant Morrison
Grant Morrison,/people/person/places_lived./people/place_lived/location,Glasgow
Grant Morrison,/people/person/gender,Male
