0,1,2
Sally Field,/people/person/profession,Actor
Jerry Lee Lewis,/people/person/profession,Actor
Joseph Sargent,/people/person/profession,Actor
Ben Affleck,/people/person/profession,Actor
Dudley Moore,/people/person/profession,Actor
Asit Sen,/people/person/profession,Actor
Roddy McDowall,/people/person/profession,Actor
Sarah Jessica Parker,/people/person/profession,Actor
Mary McDonnell,/people/person/profession,Actor
Norman Jewison,/people/person/profession,Actor
Delroy Lindo,/people/person/profession,Actor
Roy Haynes,/people/person/profession,Actor
Moby,/people/person/profession,Actor
Susan Sarandon,/people/person/profession,Actor
Eva Longoria,/people/person/profession,Actor
Brian Keith,/people/person/profession,Actor
Amy Ryan,/people/person/profession,Actor
Madeline Kahn,/people/person/profession,Actor
Simon Baker,/people/person/profession,Actor
k.d. lang,/people/person/profession,Actor
Peter Gallagher,/people/person/profession,Actor
Amjad Khan,/people/person/profession,Actor
Rainn Wilson,/people/person/profession,Actor
Master P,/people/person/profession,Actor
Cree Summer,/people/person/profession,Actor
Hope Davis,/people/person/profession,Actor
Joshua Malina,/people/person/profession,Actor
Ryan O'Neal,/people/person/profession,Actor
Glenda Jackson,/people/person/profession,Actor
Rihanna,/people/person/profession,Actor
Ernest Borgnine,/people/person/profession,Actor
Rose Byrne,/people/person/profession,Actor
D. W. Griffith,/people/person/profession,Actor
Carol Kane,/people/person/profession,Actor
Adolphe Menjou,/people/person/profession,Actor
Aidan Quinn,/people/person/profession,Actor
David Arquette,/people/person/profession,Actor
Kiernan Shipka,/people/person/profession,Actor
Laura Carmichael,/people/person/profession,Actor
La Toya Jackson,/people/person/profession,Actor
Jonah Hill,/people/person/profession,Actor
Jayaram,/people/person/profession,Actor
Dirk Bogarde,/people/person/profession,Actor
Jean-Claude Van Damme,/people/person/profession,Actor
DMX,/people/person/profession,Actor
Ann Sothern,/people/person/profession,Actor
Judah Friedlander,/people/person/profession,Actor
Miranda Otto,/people/person/profession,Actor
Sidney Poitier,/people/person/profession,Actor
Rebecca Hall,/people/person/profession,Actor
Mike O'Malley,/people/person/profession,Actor
Charlotte Rampling,/people/person/profession,Actor
Amanda Seyfried,/people/person/profession,Actor
John Ortiz,/people/person/profession,Actor
Desmond Harrington,/people/person/profession,Actor
Hugh Grant,/people/person/profession,Actor
Will Smith,/people/person/profession,Actor
Ewan McGregor,/people/person/profession,Actor
Jagathy Sreekumar,/people/person/profession,Actor
Lena Horne,/people/person/profession,Actor
Joss Whedon,/people/person/profession,Actor
Regis Philbin,/people/person/profession,Actor
Pier Paolo Pasolini,/people/person/profession,Actor
Mae Whitman,/people/person/profession,Actor
Bow Wow,/people/person/profession,Actor
Alice Cooper,/people/person/profession,Actor
Mark Salling,/people/person/profession,Actor
Bradley Cooper,/people/person/profession,Actor
Johnny Carson,/people/person/profession,Actor
Dakota Fanning,/people/person/profession,Actor
Mario Lopez,/people/person/profession,Actor
Maggie Gyllenhaal,/people/person/profession,Actor
Harvey Fierstein,/people/person/profession,Actor
John Slattery,/people/person/profession,Actor
Sayaji Shinde,/people/person/profession,Actor
David Mamet,/people/person/profession,Actor
Tom Hanks,/people/person/profession,Actor
Stephen Merchant,/people/person/profession,Actor
Jayne Mansfield,/people/person/profession,Actor
Joel Grey,/people/person/profession,Actor
Louis C.K.,/people/person/profession,Actor
Ashley Judd,/people/person/profession,Actor
Russell Crowe,/people/person/profession,Actor
Megan McTavish,/people/person/profession,Actor
Lon Chaney Jr.,/people/person/profession,Actor
Christopher Reeve,/people/person/profession,Actor
Daniel Radcliffe,/people/person/profession,Actor
Leighton Meester,/people/person/profession,Actor
Steve Schirripa,/people/person/profession,Actor
Sandra Oh,/people/person/profession,Actor
Iggy Pop,/people/person/profession,Actor
John Rhys-Davies,/people/person/profession,Actor
Bette Davis,/people/person/profession,Actor
Mark Hamill,/people/person/profession,Actor
Lara Flynn Boyle,/people/person/profession,Actor
Hrithik Roshan,/people/person/profession,Actor
Billy Crudup,/people/person/profession,Actor
Elisabeth Shue,/people/person/profession,Actor
John Cusack,/people/person/profession,Actor
John Osborne,/people/person/profession,Actor
Mary McCORMACK,/people/person/profession,Actor
Janet Jackson,/people/person/profession,Actor
Jerome Flynn,/people/person/profession,Actor
John Heard,/people/person/profession,Actor
Elizabeth McGovern,/people/person/profession,Actor
Mary Tyler Moore,/people/person/profession,Actor
Jennifer Connelly,/people/person/profession,Actor
Christine Baranski,/people/person/profession,Actor
Julianne Moore,/people/person/profession,Actor
Antony Sher,/people/person/profession,Actor
Sammo Hung,/people/person/profession,Actor
Michael Moore,/people/person/profession,Actor
Michael Bay,/people/person/profession,Actor
Burn Gorman,/people/person/profession,Actor
Wallace Beery,/people/person/profession,Actor
Loretta Young,/people/person/profession,Actor
Peter Fonda,/people/person/profession,Actor
Jason Marsden,/people/person/profession,Actor
George Kennedy,/people/person/profession,Actor
Ann-Margret,/people/person/profession,Actor
Jimmy Smits,/people/person/profession,Actor
Graham Greene,/people/person/profession,Actor
Adrian Grenier,/people/person/profession,Actor
Mary Pickford,/people/person/profession,Actor
Chevy Chase,/people/person/profession,Actor
Steve Martin,/people/person/profession,Actor
Cameron Diaz,/people/person/profession,Actor
Michael Jeter,/people/person/profession,Actor
Lauren Holly,/people/person/profession,Actor
Steven Wright,/people/person/profession,Actor
William Shatner,/people/person/profession,Actor
Loudon Wainwright III,/people/person/profession,Actor
Michael Gambon,/people/person/profession,Actor
Joan Plowright,/people/person/profession,Actor
Ben Stiller,/people/person/profession,Actor
Jack Elam,/people/person/profession,Actor
James Brown,/people/person/profession,Actor
Venu Madhav,/people/person/profession,Actor
Russell Brand,/people/person/profession,Actor
Jessica Walter,/people/person/profession,Actor
Robert Englund,/people/person/profession,Actor
Chris Brown,/people/person/profession,Actor
James Whitmore,/people/person/profession,Actor
Bernie Mac,/people/person/profession,Actor
Missy Elliott,/people/person/profession,Actor
Willie Nelson,/people/person/profession,Actor
Phil Hartman,/people/person/profession,Actor
Jude Ciccolella,/people/person/profession,Actor
Diedrich Bader,/people/person/profession,Actor
Charles Durning,/people/person/profession,Actor
Dee Bradley Baker,/people/person/profession,Actor
Timothy Olyphant,/people/person/profession,Actor
Richard Burton,/people/person/profession,Actor
Mo Willems,/people/person/profession,Actor
Jerry Lewis,/people/person/profession,Actor
Milla Jovovich,/people/person/profession,Actor
Mary J. Blige,/people/person/profession,Actor
Artie Lange,/people/person/profession,Actor
Lois Smith,/people/person/profession,Actor
Baz Luhrmann,/people/person/profession,Actor
Daryl Hannah,/people/person/profession,Actor
Stephen Rea,/people/person/profession,Actor
Ron Perlman,/people/person/profession,Actor
Art Carney,/people/person/profession,Actor
Doug Savant,/people/person/profession,Actor
Benicio Del Toro,/people/person/profession,Actor
Sarah Polley,/people/person/profession,Actor
Annette Bening,/people/person/profession,Actor
Flea,/people/person/profession,Actor
Franchot Tone,/people/person/profession,Actor
Mary Elizabeth Winstead,/people/person/profession,Actor
Lil Wayne,/people/person/profession,Actor
Joanna Cassidy,/people/person/profession,Actor
Armand Assante,/people/person/profession,Actor
David Suchet,/people/person/profession,Actor
Richard Benjamin,/people/person/profession,Actor
Joe Jonas,/people/person/profession,Actor
Maggie Grace,/people/person/profession,Actor
Hayden Christensen,/people/person/profession,Actor
Billy Dee Williams,/people/person/profession,Actor
Barry Gibb,/people/person/profession,Actor
Lewis Black,/people/person/profession,Actor
Bo Derek,/people/person/profession,Actor
Gabrielle Union,/people/person/profession,Actor
Bryan Batt,/people/person/profession,Actor
Jason Robards,/people/person/profession,Actor
Kobe Bryant,/people/person/profession,Actor
Colm Meaney,/people/person/profession,Actor
Reese Witherspoon,/people/person/profession,Actor
Glen Campbell,/people/person/profession,Actor
Raquel Welch,/people/person/profession,Actor
Ryan Gosling,/people/person/profession,Actor
Steve Allen,/people/person/profession,Actor
Maureen Stapleton,/people/person/profession,Actor
Kareem Abdul-Jabbar,/people/person/profession,Actor
John Leguizamo,/people/person/profession,Actor
