0,1,2
James Brown,/people/person/profession,Artist
Jimi Hendrix,/people/person/profession,Artist
Osamu Tezuka,/people/person/profession,Artist
Lenny Kravitz,/people/person/profession,Artist
Grace Jones,/people/person/profession,Artist
Cartoonist,/people/profession/specialization_of,Artist
Josh Groban,/people/person/profession,Artist
Juelz Santana,/people/person/profession,Artist
David Bowie,/people/person/profession,Artist
Jerry Garcia,/people/person/profession,Artist
Lupe Fiasco,/people/person/profession,Artist
Gloria Stuart,/people/person/profession,Artist
Ronnie Wood,/people/person/profession,Artist
