0,1,2
Sandra Bernhard,/people/person/profession,Author
Salman Rushdie,/people/person/profession,Author
Jay Mohr,/people/person/profession,Author
Fyodor Dostoevsky,/people/person/profession,Author
Sheri Anderson,/people/person/profession,Author
Richard Wagner,/people/person/profession,Author
Cory Doctorow,/people/person/profession,Author
Julian Fellowes,/people/person/profession,Author
Robert Mitchum,/people/person/profession,Author
Joe Haldeman,/people/person/profession,Author
Jermaine Jackson,/people/person/profession,Author
Steve Earle,/people/person/profession,Author
Miguel de Cervantes,/people/person/profession,Author
Michael Connelly,/people/person/profession,Author
Mario Lopez,/people/person/profession,Author
William Goldman,/people/person/profession,Author
Gene Hackman,/people/person/profession,Author
Martin Mull,/people/person/profession,Author
KRS-One,/people/person/profession,Author
Ice-T,/people/person/profession,Author
Michael Redgrave,/people/person/profession,Author
David O. Russell,/people/person/profession,Author
Jean-Paul Sartre,/people/person/profession,Author
Anthony Horowitz,/people/person/profession,Author
Simon Callow,/people/person/profession,Author
Jeff Garlin,/people/person/profession,Author
Nicole Richie,/people/person/profession,Author
Richard Matheson,/people/person/profession,Author
Julie Andrews,/people/person/profession,Author
James Schamus,/people/person/profession,Author
Tyra Banks,/people/person/profession,Author
