0,1,2
Tony Gaudio,/people/person/profession,Cinematographer
Geoffrey Unsworth,/people/person/profession,Cinematographer
Andy Warhol,/people/person/profession,Cinematographer
Joel Coen,/people/person/profession,Cinematographer
Alan Hume,/people/person/profession,Cinematographer
George Stevens,/people/person/profession,Cinematographer
Robert Elswit,/people/person/profession,Cinematographer
Michael Chapman,/people/person/profession,Cinematographer
Sven Nykvist,/people/person/profession,Cinematographer
David Watkin,/people/person/profession,Cinematographer
Lee Garmes,/people/person/profession,Cinematographer
Russell Metty,/people/person/profession,Cinematographer
