0,1,2
Bob Odenkirk,/people/person/profession,Comedian
Rosie O'Donnell,/people/person/profession,Comedian
Tony Randall,/people/person/profession,Comedian
Sarah Silverman,/people/person/profession,Comedian
Keith Allen,/people/person/profession,Comedian
Tim Allen,/people/person/profession,Comedian
Dick Van Dyke,/people/person/profession,Comedian
Shakti Kapoor,/people/person/profession,Comedian
Alex Borstein,/people/person/profession,Comedian
Peter Sellers,/people/person/profession,Comedian
Sean Hayes,/people/person/profession,Comedian
David Spade,/people/person/profession,Comedian
Stan Laurel,/people/person/profession,Comedian
Billy Crystal,/people/person/profession,Comedian
Bill Maher,/people/person/profession,Comedian
Dave Chappelle,/people/person/profession,Comedian
Janeane Garofalo,/people/person/profession,Comedian
Joan Rivers,/people/person/profession,Comedian
Ben Stein,/people/person/profession,Comedian
Steven Wright,/people/person/profession,Comedian
Seann William Scott,/people/person/profession,Comedian
George Burns,/people/person/profession,Comedian
Jackie Gleason,/people/person/profession,Comedian
Ty Burrell,/people/person/profession,Comedian
Martin Short,/people/person/profession,Comedian
Jim Dale,/people/person/profession,Comedian
Larry the Cable Guy,/people/person/profession,Comedian
Sid James,/people/person/profession,Comedian
Jackie Chan,/people/person/profession,Comedian
