0,1,2
Nelly Furtado,/people/person/profession,Guitarist
Merle Haggard,/people/person/profession,Guitarist
Ad-Rock,/people/person/profession,Guitarist
Joe Strummer,/people/person/profession,Guitarist
Billy Corgan,/people/person/profession,Guitarist
Pete Wentz,/people/person/profession,Guitarist
Rob Thomas,/people/person/profession,Guitarist
Chuck Berry,/people/person/profession,Guitarist
Babyface,/people/person/profession,Guitarist
Tim Armstrong,/people/person/profession,Guitarist
Ritchie Blackmore,/people/person/profession,Guitarist
John Fogerty,/people/person/profession,Guitarist
Chris Cornell,/people/person/profession,Guitarist
Robert Cray,/people/person/profession,Guitarist
Jewel,/people/person/profession,Guitarist
Matt Bellamy,/people/person/profession,Guitarist
