0,1,2
Michael Pitt,/people/person/profession,Musician
Richard Marx,/people/person/profession,Musician
Chris Botti,/people/person/profession,Musician
Snoop Dogg,/people/person/profession,Musician
Eugene Levy,/people/person/profession,Musician
Timbaland,/people/person/profession,Musician
John Zorn,/people/person/profession,Musician
Roy Orbison,/people/person/profession,Musician
Jackson Browne,/people/person/profession,Musician
Albert Lee,/people/person/profession,Musician
Brian Wilson,/people/person/profession,Musician
Nick Cannon,/people/person/profession,Musician
Ron Carter,/people/person/profession,Musician
McCoy Tyner,/people/person/profession,Musician
Terence Blanchard,/people/person/profession,Musician
Composer,/people/profession/specialization_of,Musician
Drake Bell,/people/person/profession,Musician
Jordin Sparks,/people/person/profession,Musician
Moby,/people/person/profession,Musician
Vanessa Hudgens,/people/person/profession,Musician
Josh Homme,/people/person/profession,Musician
Seal,/people/person/profession,Musician
George Benson,/people/person/profession,Musician
Carrie Underwood,/people/person/profession,Musician
John Denver,/people/person/profession,Musician
Chad Hugo,/people/person/profession,Musician
Jane Horrocks,/people/person/profession,Musician
Joss Stone,/people/person/profession,Musician
Jon Lord,/people/person/profession,Musician
Gil Scott-Heron,/people/person/profession,Musician
Jerry Hey,/people/person/profession,Musician
Bob Dylan,/people/person/profession,Musician
Keith Allen,/people/person/profession,Musician
Leon Russell,/people/person/profession,Musician
Michael Brecker,/people/person/profession,Musician
Lars Ulrich,/people/person/profession,Musician
David Grisman,/people/person/profession,Musician
Andrea Bocelli,/people/person/profession,Musician
Bill Payne,/people/person/profession,Musician
Levon Helm,/people/person/profession,Musician
Waddy Wachtel,/people/person/profession,Musician
Prince,/people/person/profession,Musician
Akiva Schaffer,/people/person/profession,Musician
Bebe Neuwirth,/people/person/profession,Musician
Devin Townsend,/people/person/profession,Musician
Lou Reed,/people/person/profession,Musician
Steven Wilson,/people/person/profession,Musician
Michael Nesmith,/people/person/profession,Musician
Harry Connick Jr.,/people/person/profession,Musician
