0,1,2
Pete Townshend,/people/person/profession,Screenwriter
Harold Ramis,/people/person/profession,Screenwriter
T. Rajendar,/people/person/profession,Screenwriter
David Henrie,/people/person/profession,Screenwriter
David Arquette,/people/person/profession,Screenwriter
Tupac Shakur,/people/person/profession,Screenwriter
Geoff Johns,/people/person/profession,Screenwriter
Alan Alda,/people/person/profession,Screenwriter
Al Franken,/people/person/profession,Screenwriter
Johnny Knoxville,/people/person/profession,Screenwriter
Jay Chou,/people/person/profession,Screenwriter
Jonathan Demme,/people/person/profession,Screenwriter
Andy Samberg,/people/person/profession,Screenwriter
Wim Wenders,/people/person/profession,Screenwriter
Marlon Wayans,/people/person/profession,Screenwriter
George Miller,/people/person/profession,Screenwriter
Mike Henry,/people/person/profession,Screenwriter
Will Ferrell,/people/person/profession,Screenwriter
Norman Stiles,/people/person/profession,Screenwriter
Agatha Christie,/people/person/profession,Screenwriter
Roberto Benigni,/people/person/profession,Screenwriter
Edgar Allan Poe,/people/person/profession,Screenwriter
Raymond Chandler,/people/person/profession,Screenwriter
Richard E. Grant,/people/person/profession,Screenwriter
Michael Ironside,/people/person/profession,Screenwriter
Julian Fellowes,/people/person/profession,Screenwriter
Glen Morgan,/people/person/profession,Screenwriter
Michael Powell,/people/person/profession,Screenwriter
Lon Chaney,/people/person/profession,Screenwriter
Steve Carell,/people/person/profession,Screenwriter
John Lennon,/people/person/profession,Screenwriter
Chris Elliott,/people/person/profession,Screenwriter
Ossie Davis,/people/person/profession,Screenwriter
Charles Pratt Jr.,/people/person/profession,Screenwriter
D. W. Griffith,/people/person/profession,Screenwriter
Jeanne Moreau,/people/person/profession,Screenwriter
Ronald Harwood,/people/person/profession,Screenwriter
Leonard Dick,/people/person/profession,Screenwriter
John Boorman,/people/person/profession,Screenwriter
Tom Hanks,/people/person/profession,Screenwriter
Graham Yost,/people/person/profession,Screenwriter
Roland Emmerich,/people/person/profession,Screenwriter
John Hughes,/people/person/profession,Screenwriter
Mahesh Manjrekar,/people/person/profession,Screenwriter
Ingmar Bergman,/people/person/profession,Screenwriter
Aaron Staton,/people/person/profession,Screenwriter
Scott Adsit,/people/person/profession,Screenwriter
Sam Raimi,/people/person/profession,Screenwriter
Dan Aykroyd,/people/person/profession,Screenwriter
John Ford,/people/person/profession,Screenwriter
Subhash Ghai,/people/person/profession,Screenwriter
Jean Cocteau,/people/person/profession,Screenwriter
Stephen J. Cannell,/people/person/profession,Screenwriter
Brian K. Vaughan,/people/person/profession,Screenwriter
Ryan Murphy,/people/person/profession,Screenwriter
Wallace Beery,/people/person/profession,Screenwriter
Steve Allen,/people/person/profession,Screenwriter
Mindy Kaling,/people/person/profession,Screenwriter
Jeffrey Richman,/people/person/profession,Screenwriter
Baz Luhrmann,/people/person/profession,Screenwriter
Hogan Sheffer,/people/person/profession,Screenwriter
Preity Zinta,/people/person/profession,Screenwriter
Mary Pickford,/people/person/profession,Screenwriter
Carter Bays,/people/person/profession,Screenwriter
Vince Vaughn,/people/person/profession,Screenwriter
Jim Jarmusch,/people/person/profession,Screenwriter
Akiva Schaffer,/people/person/profession,Screenwriter
Brian Helgeland,/people/person/profession,Screenwriter
J.J. Abrams,/people/person/profession,Screenwriter
David Mamet,/people/person/profession,Screenwriter
James A. Michener,/people/person/profession,Screenwriter
Anne Heche,/people/person/profession,Screenwriter
Laurie Anderson,/people/person/profession,Screenwriter
Ron Weiner,/people/person/profession,Screenwriter
Stephen Chow,/people/person/profession,Screenwriter
Stanley Kubrick,/people/person/profession,Screenwriter
Guillermo del Toro,/people/person/profession,Screenwriter
Douglas Coupland,/people/person/profession,Screenwriter
Garin Wolf,/people/person/profession,Screenwriter
Steve Coogan,/people/person/profession,Screenwriter
James L. Brooks,/people/person/profession,Screenwriter
Aamir Khan,/people/person/profession,Screenwriter
Rowan Atkinson,/people/person/profession,Screenwriter
