0,1,2
LeAnn Rimes,/people/person/profession,Singer-songwriter
Norah Jones,/people/person/profession,Singer-songwriter
Joni Mitchell,/people/person/profession,Singer-songwriter
Elizabeth McGovern,/people/person/profession,Singer-songwriter
CeeLo Green,/people/person/profession,Singer-songwriter
Ronny Cox,/people/person/profession,Singer-songwriter
Chris Cornell,/people/person/profession,Singer-songwriter
Paul McCartney,/people/person/profession,Singer-songwriter
Billy Joel,/people/person/profession,Singer-songwriter
Garth Brooks,/people/person/profession,Singer-songwriter
Keith Urban,/people/person/profession,Singer-songwriter
The-Dream,/people/person/profession,Singer-songwriter
Michelle Branch,/people/person/profession,Singer-songwriter
Chris Seefried,/people/person/profession,Singer-songwriter
Jay Bennett,/people/person/profession,Singer-songwriter
Imogen Heap,/people/person/profession,Singer-songwriter
Usher,/people/person/profession,Singer-songwriter
Juanes,/people/person/profession,Singer-songwriter
Ashanti,/people/person/profession,Singer-songwriter
Steven Van Zandt,/people/person/profession,Singer-songwriter
Corbin Bleu,/people/person/profession,Singer-songwriter
Tom Waits,/people/person/profession,Singer-songwriter
Nelly Furtado,/people/person/profession,Singer-songwriter
Ben Folds,/people/person/profession,Singer-songwriter
Marty Stuart,/people/person/profession,Singer-songwriter
John Mellencamp,/people/person/profession,Singer-songwriter
Rob Thomas,/people/person/profession,Singer-songwriter
E. G. Daily,/people/person/profession,Singer-songwriter
Cliff Richard,/people/person/profession,Singer-songwriter
Sufjan Stevens,/people/person/profession,Singer-songwriter
Albert Lee,/people/person/profession,Singer-songwriter
Prince,/people/person/profession,Singer-songwriter
