0,1,2
Static Major,/people/person/profession,Songwriter
Grace Jones,/people/person/profession,Songwriter
Cole Porter,/people/person/profession,Songwriter
Bill Payne,/people/person/profession,Songwriter
Les Claypool,/people/person/profession,Songwriter
Steven Wilson,/people/person/profession,Songwriter
Akiva Schaffer,/people/person/profession,Songwriter
Jermaine Dupri,/people/person/profession,Songwriter
Mike Watt,/people/person/profession,Songwriter
PJ Harvey,/people/person/profession,Songwriter
Angelo Badalamenti,/people/person/profession,Songwriter
Robert Palmer,/people/person/profession,Songwriter
Stevie Ray Vaughan,/people/person/profession,Songwriter
Jimmy Buffett,/people/person/profession,Songwriter
Dean Martin,/people/person/profession,Songwriter
Ry Cooder,/people/person/profession,Songwriter
Joe Satriani,/people/person/profession,Songwriter
Max Martin,/people/person/profession,Songwriter
R. Kelly,/people/person/profession,Songwriter
Richard Marx,/people/person/profession,Songwriter
Bill Bruford,/people/person/profession,Songwriter
Alain Johannes,/people/person/profession,Songwriter
James Blunt,/people/person/profession,Songwriter
Jamie Foxx,/people/person/profession,Songwriter
Bill Berry,/people/person/profession,Songwriter
Levon Helm,/people/person/profession,Songwriter
Keith Urban,/people/person/profession,Songwriter
Tommy Lee,/people/person/profession,Songwriter
Irving Berlin,/people/person/profession,Songwriter
Yngwie Malmsteen,/people/person/profession,Songwriter
Jermaine Jackson,/people/person/profession,Songwriter
Robert Cray,/people/person/profession,Songwriter
Dan Schneider,/people/person/profession,Songwriter
James Brown,/people/person/profession,Songwriter
Mike Mills,/people/person/profession,Songwriter
Michael McDonald,/people/person/profession,Songwriter
Jonny Greenwood,/people/person/profession,Songwriter
Serge Gainsbourg,/people/person/profession,Songwriter
Paul McCartney,/people/person/profession,Songwriter
Lou Reed,/people/person/profession,Songwriter
Jerry Lee Lewis,/people/person/profession,Songwriter
Tony Levin,/people/person/profession,Songwriter
David Shire,/people/person/profession,Songwriter
Dr. Luke,/people/person/profession,Songwriter
