0,1,2
Chris Claremont,/people/person/profession,Writer
Alexander Pushkin,/people/person/profession,Writer
Angela Lansbury,/people/person/profession,Writer
Joseph Conrad,/people/person/profession,Writer
Alan Moore,/people/person/profession,Writer
Karan Johar,/people/person/profession,Writer
Stephen Chow,/people/person/profession,Writer
Ellie Kemper,/people/person/profession,Writer
Nick Cannon,/people/person/profession,Writer
Doris Lessing,/people/person/profession,Writer
Robert Altman,/people/person/profession,Writer
Richard Price,/people/person/profession,Writer
Patti Smith,/people/person/profession,Writer
Jonathan Lethem,/people/person/profession,Writer
H. Jon Benjamin,/people/person/profession,Writer
Tom Wolfe,/people/person/profession,Writer
D. H. Lawrence,/people/person/profession,Writer
Allen Covert,/people/person/profession,Writer
Lewis Carroll,/people/person/profession,Writer
Liv Ullmann,/people/person/profession,Writer
John Lennon,/people/person/profession,Writer
Douglas Coupland,/people/person/profession,Writer
Allen Ginsberg,/people/person/profession,Writer
Seamus Heaney,/people/person/profession,Writer
Robert Louis Stevenson,/people/person/profession,Writer
Tom McCarthy,/people/person/profession,Writer
Tina Fey,/people/person/profession,Writer
Catherine Tate,/people/person/profession,Writer
Elaine May,/people/person/profession,Writer
Bruce Timm,/people/person/profession,Writer
Roger Zelazny,/people/person/profession,Writer
Harlan Ellison,/people/person/profession,Writer
Terrence McNally,/people/person/profession,Writer
Mike Henry,/people/person/profession,Writer
Richard Wagner,/people/person/profession,Writer
Albert Einstein,/people/person/profession,Writer
Melissa Joan Hart,/people/person/profession,Writer
Gustave Flaubert,/people/person/profession,Writer
Satyajit Ray,/people/person/profession,Writer
George R. R. Martin,/people/person/profession,Writer
David Mamet,/people/person/profession,Writer
Mike Epps,/people/person/profession,Writer
Terry Gilliam,/people/person/profession,Writer
Bill Hader,/people/person/profession,Writer
